Date,SKU,Sales,On_Hand,Lead_Time_Days,Avg_Daily_Demand,Demand_Std,Safety_Stock,Reorder_Point
2025-11-26,SKU_001,38,1210,9,38.0,0.0,0.0,342.0
2025-11-27,SKU_001,57,1153,9,47.5,13.435028842544403,66.5033927705948,494.0033927705948
2025-11-28,SKU_001,47,1106,9,47.333333333333336,9.504384952922168,47.04670551696473,473.0467055169647
2025-11-29,SKU_001,66,1040,9,52.0,12.138094304022083,60.08356680490931,528.0835668049093
2025-11-30,SKU_001,54,986,9,52.4,10.549881515922346,52.221913503815614,523.8219135038156
2025-12-01,SKU_001,32,954,9,49.0,12.585706178041818,62.299245581307,503.299245581307
2025-12-02,SKU_001,38,916,9,47.42857142857143,12.218253323847655,60.48035395304589,487.3374968101888
2025-12-03,SKU_001,44,872,9,47.0,11.376667852608312,56.31450587041114,479.31450587041115
2025-12-04,SKU_001,39,833,9,46.111111111111114,10.970921160554893,54.30605974474672,469.30605974474673
2025-12-05,SKU_001,64,769,9,47.9,11.789354897062386,58.35730674045881,489.45730674045876
2025-12-06,SKU_001,61,708,9,49.09090909090909,11.861319871367987,58.71353336327154,500.5317151814534
2025-12-07,SKU_001,52,656,9,49.333333333333336,11.340461216637557,56.13528302235591,500.1352830223559
2025-12-08,SKU_001,35,621,9,48.23076923076923,11.562538981223272,57.23456795705519,491.3114910339783
2025-12-09,SKU_001,29,592,9,46.857142857142854,12.240268617321101,60.58932965573945,482.3036153700251
2025-12-10,SKU_001,41,551,9,47.07142857142857,12.098723935982706,59.88868348311439,483.5315406259715
2025-12-11,SKU_001,54,497,9,46.857142857142854,11.934804583216286,59.07728268692061,480.7915684012063
2025-12-12,SKU_001,50,447,9,47.07142857142857,11.964462029207652,59.224087044577885,482.866944187435
2025-12-13,SKU_001,62,385,9,46.785714285714285,11.51706807928377,57.00948699245466,478.0809155638832
2025-12-14,SKU_001,76,309,9,48.357142857142854,13.843116272424652,68.52342554850202,503.7377112627877
2025-12-15,SKU_001,39,270,9,48.857142857142854,13.323531195463294,65.9514794175433,505.66576513182895
2025-12-16,SKU_001,37,233,9,48.785714285714285,13.388735629559715,66.27424136632058,505.3456699377491
2025-12-17,SKU_001,44,189,9,48.785714285714285,13.388735629559715,66.27424136632058,505.3456699377491
2025-12-18,SKU_001,62,127,9,50.42857142857143,13.506205330054128,66.85571638376793,520.7128592409108
2025-12-19,SKU_001,55,744,9,49.785714285714285,13.015839885005038,64.42840743077493,512.4998360022034
2025-12-20,SKU_001,77,667,9,50.92857142857143,14.673179539629368,72.63223872116536,530.9893815783082
2025-12-21,SKU_001,73,594,9,52.42857142857143,15.819726175371569,78.30764456808926,550.1647874252321
2025-12-22,SKU_001,35,559,9,52.42857142857143,15.819726175371569,78.30764456808926,550.1647874252321
2025-12-23,SKU_001,47,512,9,53.714285714285715,14.440480342685028,71.48037769629089,554.9089491248624
2025-12-24,SKU_001,44,468,9,53.92857142857143,14.25840796871088,70.57911944511885,555.9362623022618
2025-12-25,SKU_001,41,427,9,53.0,14.670745353620223,72.62018950042011,549.6201895004201
2025-12-26,SKU_001,71,356,9,54.5,15.396053440361323,76.21046452978854,566.7104645297885
2025-12-27,SKU_001,82,274,9,55.92857142857143,16.99078612621598,84.1043913247691,587.4615341819119
2025-12-28,SKU_001,52,222,9,54.214285714285715,15.991240734220105,79.1566416343895,567.085213062961
2025-12-29,SKU_001,36,186,9,54.0,16.22912860829612,80.33418661106579,566.3341866110658
2025-12-30,SKU_001,50,136,9,54.92857142857143,15.53885594102874,76.91733690809227,571.2744797652351
2025-12-31,SKU_001,40,768,9,54.642857142857146,15.79000240101869,78.16051188504251,569.9462261707569
2026-01-01,SKU_001,68,700,9,55.07142857142857,16.08374375532057,79.61453158883681,575.2573887316939
2026-01-02,SKU_001,58,642,9,55.285714285714285,16.102692423837183,79.70832749799405,577.2797560694225
2026-01-03,SKU_001,50,592,9,53.357142857142854,14.871796450675681,73.61539243084462,553.8296781451303
2026-01-04,SKU_001,93,499,9,54.785714285714285,17.61196521349389,87.17922780679474,580.2506563782233
2026-01-05,SKU_001,42,457,9,55.285714285714285,17.098936410596615,84.63973523245323,582.2111638038818
2026-01-06,SKU_001,29,428,9,54.0,18.397324220156,91.0667548897722,577.0667548897723
2026-01-07,SKU_001,53,375,9,54.642857142857146,18.17693865592056,89.97584634680676,581.7615606325211
2026-01-08,SKU_001,38,337,9,54.42857142857143,18.36683585543954,90.91583748442571,580.7729803415687
2026-01-09,SKU_001,63,274,9,53.857142857142854,17.93088072339124,88.75785958078664,573.4721452950723
2026-01-10,SKU_001,65,209,9,52.642857142857146,16.38764611086489,81.11884824878119,554.9045625344955
2026-01-11,SKU_001,61,148,9,53.285714285714285,16.53634026774212,81.85488432532348,561.426312896752
2026-01-12,SKU_001,53,95,9,54.5,15.77607731296394,78.0915826991715,568.5915826991715
2026-01-13,SKU_001,31,736,9,53.142857142857146,16.96538168813705,83.97863935627839,562.2643536419928
2026-01-14,SKU_001,49,687,9,53.785714285714285,16.59554421861748,82.14794388215653,566.219372453585
2026-01-15,SKU_001,31,656,9,51.142857142857146,17.096365528547707,84.62700936631114,544.9127236520255
2026-01-16,SKU_001,71,585,9,52.07142857142857,17.834557145368894,88.28105786957602,556.9239150124331
2026-01-17,SKU_001,71,514,9,53.57142857142857,18.51699546036346,91.65912752879913,573.8019846716562
2026-01-18,SKU_001,58,456,9,51.07142857142857,14.767241738775342,73.09784660693794,532.7407037497951
2026-01-19,SKU_001,41,415,9,51.0,14.816830347225466,73.34331021876605,532.3433102187661
2026-01-20,SKU_001,39,376,9,51.714285714285715,13.886510174812274,68.73822536532074,534.1667967938922
2026-01-21,SKU_001,36,340,9,50.5,14.495357346936451,71.75201886733544,526.2520188673354
2026-01-22,SKU_001,56,284,9,51.785714285714285,14.094071702061727,69.76565492520554,535.8370834966341
2026-01-23,SKU_001,51,233,9,50.92857142857143,13.719521665323274,67.91163224335021,526.2687751004931
2026-01-24,SKU_001,75,158,9,51.642857142857146,14.731479339037325,72.92082272823475,537.7065370139491
2026-01-25,SKU_001,75,83,9,52.642857142857146,15.848354162824913,78.44935310598332,552.2350673916976
2026-01-26,SKU_001,46,709,9,52.142857142857146,15.946338585572375,78.93437599858325,548.2200902842976
2026-01-27,SKU_001,32,677,9,52.214285714285715,15.846273871304753,78.43905566295852,548.3676270915299
2026-01-28,SKU_001,51,626,9,52.357142857142854,15.824067078380924,78.32913203798557,549.5434177522712
2026-01-29,SKU_001,55,571,9,54.07142857142857,14.583785968904419,72.18974054607688,558.832597688934
2026-01-30,SKU_001,60,511,9,53.285714285714285,13.880969659260797,68.71079981334094,548.2822283847695
2026-01-31,SKU_001,72,439,9,53.357142857142854,13.981345499558406,69.20766022281411,549.4219459370997
2026-02-01,SKU_001,46,393,9,52.5,14.042517854441481,69.51046337948533,542.0104633794854
2026-02-02,SKU_001,41,352,9,52.5,14.042517854441481,69.51046337948533,542.0104633794854
2026-02-03,SKU_001,33,319,9,52.07142857142857,14.567953690387501,72.11137076741812,540.7542279102752
2026-02-04,SKU_001,50,269,9,53.07142857142857,13.842322424719425,68.51949600236115,546.1623531452183
2026-02-05,SKU_001,49,220,9,52.57142857142857,13.854820242646387,68.58136020109961,541.7242173439568
2026-02-06,SKU_001,62,158,9,53.357142857142854,14.069099489290727,69.64204247198909,549.8563281862747
2026-02-07,SKU_001,80,750,9,53.714285714285715,14.709643992076307,72.81273776077772,556.2413091893492
2026-02-08,SKU_001,82,668,9,54.214285714285715,15.581935158917316,77.13057903664071,565.0591504652122
2026-02-09,SKU_001,39,629,9,53.714285714285715,15.973191827022468,79.06729954376121,562.4958709723327
2026-02-10,SKU_001,37,592,9,54.07142857142857,15.499202389970751,76.72105183035521,563.3639089732123
2026-02-11,SKU_001,40,552,9,53.285714285714285,15.93944585190885,78.9002569669488,558.4716855383774
2026-02-12,SKU_001,38,514,9,52.07142857142857,16.43853018749775,81.37072442811386,550.0135815709709
2026-02-13,SKU_001,72,442,9,52.92857142857143,17.179882177953136,85.04041678086801,561.3975596380109
2026-02-14,SKU_001,46,396,9,51.07142857142857,16.34467349470009,80.90613379876544,540.5489909416226
2026-02-15,SKU_001,66,330,9,52.5,16.73664795039272,82.84640735444395,555.346407354444
2026-02-16,SKU_001,37,293,9,52.214285714285715,16.980434765787503,84.05315209064814,553.9817235192196
2026-02-17,SKU_001,39,254,9,52.642857142857146,16.52786524843211,81.81293297973895,555.5986472654533
2025-11-26,SKU_002,42,1108,8,42.0,0.0,0.0,336.0
2025-11-27,SKU_002,42,1066,8,42.0,0.0,0.0,336.0
2025-11-28,SKU_002,69,997,8,51.0,15.588457268119896,72.74984536066039,480.7498453606604
2025-11-29,SKU_002,86,911,8,59.75,21.639085008382402,100.98754873745575,578.9875487374558
2025-11-30,SKU_002,70,841,8,61.8,19.29248558377069,90.03619272270457,584.4361927227045
2025-12-01,SKU_002,38,803,8,57.833333333333336,19.803198394872144,92.41964076969788,555.0863074363646
